id,role,type,description,size/ratio,style line ref,source,status
hit_fx,combat,animation,ink burst and pixel spark hit effects,512 square sheet,frozen formula,original procedural,available
weapon_trail_fx,combat,animation,colorful crescent weapon trails and impact stars,512 square sheet,frozen formula,Higgsfield GPT Image 2,available:Higgsfield generated
break_fx,combat,animation,crate splinters metal sparks and joyful debris,512 square sheet,frozen formula,Higgsfield GPT Image 2,available:Higgsfield generated
title_theme,audio,music,retro-modern synth funk title loop,30 seconds,audio formula,Higgsfield Sonilo,available
stage_theme,audio,music,energetic arcade electro-funk stage loop,45 seconds,audio formula,Higgsfield Sonilo,available
sfx_punch,audio,sfx,layered arcade punch impact,under 1 second,audio formula,Higgsfield or existing original WAV,available
sfx_damage,audio,sfx,short player damage hit,under 1 second,audio formula,Higgsfield or existing original WAV,available
sfx_pickup,audio,sfx,bright collectible pickup,under 1 second,audio formula,Higgsfield or existing original WAV,available
sfx_special,audio,sfx,charged family special burst,under 2 seconds,audio formula,original procedural WAV,available
sfx_confirm,audio,sfx,menu confirm blip,under 1 second,audio formula,Higgsfield or existing original WAV,available
sfx_victory,audio,sfx,short victory flourish,2-4 seconds,audio formula,Higgsfield or existing original WAV,available
